,n_pixels,mse,R2,r,exp_var,var_pred,var_target,delta_min,delta_max,img,structure,train_or_test,c_max
0,8388608,0.680407643318176,0.26314466475429,0.523805975914001,0.263144552707672,0.185243099927902,0.923393666744232,-23.7009258270264,14.1356592178345,0,"Z-stack
(Confocal)",DNA,
0,8388608,0.647571325302124,0.290573876331039,0.542494297027588,0.290574610233307,0.240703985095024,0.912811040878296,-21.5051097869873,16.5204048156738,1,"Z-stack
(Confocal)",DNA,
0,8388608,0.682988405227661,0.23041222759777,0.526611566543579,0.230413496494293,0.129694372415543,0.887474477291107,-33.0712471008301,11.6329917907715,2,"Z-stack
(Confocal)",DNA,
0,8388608,0.65357232093811,0.280474460042279,0.541905999183655,0.280474662780762,0.196992203593254,0.908338189125061,-24.2407493591309,13.4359531402588,3,"Z-stack
(Confocal)",DNA,
0,8388608,0.75164806842804,0.205535247195645,0.468656420707703,0.205535411834717,0.184372156858444,0.946106433868408,-18.621711730957,17.3007011413574,4,"Z-stack
(Confocal)",DNA,
0,8388608,0.651159644126892,0.29487174322133,0.559979796409607,0.294871032238007,0.195076987147331,0.92346179485321,-20.7017116546631,12.3097839355469,5,"Z-stack
(Confocal)",DNA,
0,8388608,0.669943153858185,0.273039254689367,0.538630068302155,0.273038506507874,0.190056875348091,0.921566247940064,-21.1507225036621,12.9248714447021,6,"Z-stack
(Confocal)",DNA,
0,8388608,0.692536771297455,0.246450060870086,0.537195563316345,0.246450245380402,0.14330430328846,0.919032573699951,-28.1295204162598,10.7559127807617,7,"Z-stack
(Confocal)",DNA,
0,8388608,0.643327832221985,0.325385660005937,0.594299137592316,0.325385332107544,0.189079388976097,0.953622698783874,-22.0539646148682,13.6206951141357,8,"Z-stack
(Confocal)",DNA,
0,8388608,0.652880668640137,0.295754930771406,0.556076884269714,0.295754790306091,0.198371425271034,0.927064418792725,-23.2600936889648,10.7941312789917,9,"Z-stack
(Confocal)",DNA,
0,8388608,0.726361155509949,0.216907987558848,0.478004395961762,0.216908156871796,0.180837795138359,0.927555501461029,-20.929931640625,18.9906578063965,10,"Z-stack
(Confocal)",DNA,
0,8388608,0.646631240844727,0.322314834907996,0.585932552814484,0.322315037250519,0.212929084897041,0.954176783561706,-25.9541893005371,10.8535041809082,11,"Z-stack
(Confocal)",DNA,
0,8388608,0.690707385540008,0.260557977134451,0.513398051261902,0.26055771112442,0.218429923057556,0.934092342853546,-19.1202735900879,13.2127742767334,12,"Z-stack
(Confocal)",DNA,
0,8388608,0.699771523475647,0.24935394307294,0.505892217159271,0.249353468418121,0.314239799976349,0.932225108146668,-18.8044681549072,11.5954008102417,13,"Z-stack
(Confocal)",DNA,
0,8388608,0.663396775722504,0.259864639167703,0.512272357940674,0.259865462779999,0.20681269466877,0.896319150924683,-20.8412284851074,12.5934028625488,14,"Z-stack
(Confocal)",DNA,
0,8388608,0.726014494895935,0.210862533193057,0.475676655769348,0.210862040519714,0.256100386381149,0.920009613037109,-19.5071792602539,14.2797183990479,15,"Z-stack
(Confocal)",DNA,
